date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
23157,-16.9,-72.4,47,5.1,automatic,IGP,IGP,1
23157,-5.5,-81.2,33,5.1,automatic,IGP,IGP,1
23180,-5.3,-78.5,33,4.9,automatic,IGP,IGP,0
23183,-4.9,-81.2,45,4.6,automatic,IGP,IGP,0
23186,-15.3,-69.4,179,4.5,automatic,IGP,IGP,1
23187,-15.9,-75.2,33,4.7,automatic,IGP,IGP,1
23189,-11.7,-77.6,33,4.7,automatic,IGP,IGP,1
23192,-7.3,-75.2,43,4.8,automatic,IGP,IGP,1
23192,-8.8,-77.9,94,4.7,automatic,IGP,IGP,0
23197,-11.6,-77.5,55,6,automatic,IGP,IGP,0
23197,-3.2,-77.8,65,4.7,automatic,IGP,IGP,0
23202,-16.3,-72.2,90,4.6,automatic,IGP,IGP,0
23214,-12.5,-73.7,79,4.9,automatic,IGP,IGP,1
23218,-9.7,-78.5,62,5.3,automatic,IGP,IGP,0
23224,-15,-71.8,100,4.6,automatic,IGP,IGP,0
23227,-4.1,-80.9,34,5.1,automatic,IGP,IGP,1
23228,-9.9,-79,31,5.2,automatic,IGP,IGP,1
23238,-10,-78.6,80,4.9,automatic,IGP,IGP,0
23238,-13.8,-69.3,543,7.8,automatic,IGP,IGP,1
23241,-14.2,-71.9,31,5,automatic,IGP,IGP,1
23250,-17.7,-70.1,158,4.7,automatic,IGP,IGP,0
23252,-7.1,-81.6,23,7,automatic,IGP,IGP,0
23254,-15.9,-74.4,53,4.6,automatic,IGP,IGP,1
23256,-14.1,-76.4,41,4.9,automatic,IGP,IGP,0
23264,-14.6,-73.6,176,4.5,automatic,IGP,IGP,1
23271,-10.783,-78.269,61,6.7,automatic,IGP,IGP,0
23274,-11.3,-77.6,33,4.9,automatic,IGP,IGP,1
23278,-10.754,-78.239,80,6.2,automatic,IGP,IGP,0
23290,-9,-75,82,4.6,automatic,IGP,IGP,0
23291,-12.9,-76.8,69,5.7,automatic,IGP,IGP,0
23303,-18.3,-71.2,78,4.9,automatic,IGP,IGP,1
23311,-14.7,-71.7,121,4.7,automatic,IGP,IGP,1
23312,-13.6,-76.9,38,4.6,automatic,IGP,IGP,0
23314,-4.8,-77.9,20,5.6,automatic,IGP,IGP,0
23315,-4.9,-77.7,60,4.9,automatic,IGP,IGP,0
23317,-12.5,-74.7,105,4.8,automatic,IGP,IGP,1
23318,-3.5,-77.8,18,6.2,automatic,IGP,IGP,0
23318,-4.3,-78.3,146,4.7,automatic,IGP,IGP,1
23318,-15.6,-73.3,112,5.2,automatic,IGP,IGP,1
23318,-3.7,-78.3,33,4.9,automatic,IGP,IGP,1
23319,-15,-75.8,52,4.5,automatic,IGP,IGP,1
23321,-12.8,-73.9,86,4.9,automatic,IGP,IGP,0
23321,-4.2,-77.7,170,4.6,automatic,IGP,IGP,0
23321,-16.7,-69.7,174,5.1,automatic,IGP,IGP,1
23323,-3.7,-78.2,33,4.9,automatic,IGP,IGP,1
23324,-9.127,-71.483,591,7.6,automatic,IGP,IGP,1
23325,-8.976,-71.171,594,6.3,automatic,IGP,IGP,1
23327,-15.8,-72.4,33,4.5,automatic,IGP,IGP,1
23330,-4.7,-76.8,152,4.8,automatic,IGP,IGP,1
23333,-16.5,-74.5,54,4.8,automatic,IGP,IGP,1
23334,-18.6,-72.2,33,4.9,automatic,IGP,IGP,1
23342,-16.6,-72.1,79,5.3,automatic,IGP,IGP,1
23344,-15.1,-73.7,124,5.1,automatic,IGP,IGP,0
23349,-8.3,-81.1,33,5,automatic,IGP,IGP,1
23349,-7.1,-80.4,45,4.9,automatic,IGP,IGP,1
23351,-7.1,-80.5,33,4.9,automatic,IGP,IGP,1
23355,-8.7,-79.8,33,4.9,automatic,IGP,IGP,0
23363,-7.4,-76,33,4.5,automatic,IGP,IGP,1
23364,-8.3,-80.8,33,4.8,automatic,IGP,IGP,0
23364,-9.7,-79.1,56,5.4,automatic,IGP,IGP,0
23365,-5.2,-80.8,55,5.5,automatic,IGP,IGP,1
23369,-6.6,-81.44,13,4.8,automatic,IGP,IGP,1
23372,-13.4,-72.7,42,4.6,automatic,IGP,IGP,1
23375,-18.3,-70.1,150,4.6,automatic,IGP,IGP,0
23379,-5.3,-76,106,4.7,automatic,IGP,IGP,1
23381,-7.98,-74.35,147,5.5,automatic,IGP,IGP,1
23386,-17.52,-69.79,167,4.7,automatic,IGP,IGP,0
23388,-11.71,-74.72,152,4.7,automatic,IGP,IGP,0
23393,-3.44,-77.5,33,4.6,automatic,IGP,IGP,0
23402,-16.36,-71.62,116,6.2,automatic,IGP,IGP,0
23404,-14.82,-71.85,136,4.6,automatic,IGP,IGP,0
23408,-3.226,-77.77,87,5.4,automatic,IGP,IGP,1
23411,-4.26,-80.8,100,4.5,automatic,IGP,IGP,1
23411,-4,-80.79,67,4.9,automatic,IGP,IGP,0
23422,-7.68,-76,33,4.6,automatic,IGP,IGP,0
23423,-7.65,-75.67,35,4.9,automatic,IGP,IGP,1
23425,-8.3,-78,33,4.9,automatic,IGP,IGP,0
23426,-17.16,-70.72,134,4.5,automatic,IGP,IGP,0
23427,-9.32,-74.54,77,4.9,automatic,IGP,IGP,1
23427,-13.759,-75.62,65,4.9,automatic,IGP,IGP,0
23428,-7,-81.5,33,4.8,automatic,IGP,IGP,0
23428,-7.34,-79.15,36,4.8,automatic,IGP,IGP,1
23430,-17.29,-74.2,38,4.8,automatic,IGP,IGP,0
23431,-3.37,-78,33,5,automatic,IGP,IGP,0
23443,-18.6,-70.4,112,4.9,automatic,IGP,IGP,1
23443,-10.05,-78.895,37,4.7,automatic,IGP,IGP,1
23446,-18.2,-70.64,138,4.9,automatic,IGP,IGP,1
23450,-7.8,-75.4,33,4.7,automatic,IGP,IGP,0
23455,-15.483,-72.98,117,5.1,automatic,IGP,IGP,0
23458,-5.642,-77.02,116,5.5,automatic,IGP,IGP,0
